# Gregorian month start,lunar year,lunar month,leap month
# Source: https://raw.githubusercontent.com/manakai/data-locale/241fa20712a179b2287d801bb30b51af227461e6/data/calendar/kyuureki-map.txt
# Source SHA-256: cfd10efe073a8a8a7ba0de7c53402a7c67a0c8a91c5c95fd14e98d1fc5eb1dfb
1940-10-31,1940,10,false
1940-11-29,1940,11,false
1940-12-29,1940,12,false
1941-01-27,1941,1,false
1941-02-26,1941,2,false
1941-03-28,1941,3,false
1941-04-26,1941,4,false
1941-05-26,1941,5,false
1941-06-25,1941,6,false
1941-07-24,1941,6,true
1941-08-23,1941,7,false
1941-09-21,1941,8,false
1941-10-20,1941,9,false
1941-11-19,1941,10,false
1941-12-18,1941,11,false
1942-01-17,1941,12,false
1942-02-15,1942,1,false
1942-03-17,1942,2,false
1942-04-15,1942,3,false
1942-05-15,1942,4,false
1942-06-14,1942,5,false
1942-07-13,1942,6,false
1942-08-12,1942,7,false
1942-09-11,1942,8,false
1942-10-10,1942,9,false
1942-11-09,1942,10,false
1942-12-08,1942,11,false
1943-01-06,1942,12,false
1943-02-05,1943,1,false
1943-03-06,1943,2,false
1943-04-05,1943,3,false
1943-05-04,1943,4,false
1943-06-03,1943,5,false
1943-07-02,1943,6,false
1943-08-01,1943,7,false
1943-08-31,1943,8,false
1943-09-29,1943,9,false
1943-10-29,1943,10,false
1943-11-28,1943,11,false
1943-12-27,1943,12,false
1944-01-26,1944,1,false
1944-02-24,1944,2,false
1944-03-24,1944,3,false
1944-04-23,1944,4,false
1944-05-22,1944,4,true
1944-06-21,1944,5,false
1944-07-20,1944,6,false
1944-08-19,1944,7,false
1944-09-17,1944,8,false
1944-10-17,1944,9,false
1944-11-16,1944,10,false
1944-12-15,1944,11,false
1945-01-14,1944,12,false
1945-02-13,1945,1,false
1945-03-14,1945,2,false
1945-04-12,1945,3,false
1945-05-12,1945,4,false
1945-06-10,1945,5,false
1945-07-09,1945,6,false
1945-08-08,1945,7,false
1945-09-06,1945,8,false
1945-10-06,1945,9,false
1945-11-05,1945,10,false
1945-12-05,1945,11,false
1946-01-03,1945,12,false
1946-02-02,1946,1,false
1946-03-04,1946,2,false
1946-04-02,1946,3,false
1946-05-01,1946,4,false
1946-05-31,1946,5,false
1946-06-29,1946,6,false
1946-07-28,1946,7,false
1946-08-27,1946,8,false
1946-09-25,1946,9,false
1946-10-25,1946,10,false
1946-11-24,1946,11,false
1946-12-23,1946,12,false
1947-01-22,1947,1,false
1947-02-21,1947,2,false
1947-03-23,1947,3,false
1947-04-21,1947,3,true
1947-05-20,1947,4,false
1947-06-19,1947,5,false
1947-07-18,1947,6,false
1947-08-16,1947,7,false
1947-09-15,1947,8,false
1947-10-14,1947,9,false
1947-11-13,1947,10,false
1947-12-12,1947,11,false
1948-01-11,1947,12,false
1948-02-10,1948,1,false
1948-03-11,1948,2,false
1948-04-09,1948,3,false
1948-05-09,1948,4,false
1948-06-07,1948,5,false
1948-07-07,1948,6,false
1948-08-05,1948,7,false
1948-09-03,1948,8,false
1948-10-03,1948,9,false
1948-11-01,1948,10,false
1948-12-01,1948,11,false
1948-12-30,1948,12,false
1949-01-29,1949,1,false
1949-02-28,1949,2,false
1949-03-30,1949,3,false
1949-04-28,1949,4,false
1949-05-28,1949,5,false
1949-06-26,1949,6,false
1949-07-26,1949,7,false
1949-08-24,1949,7,true
1949-09-22,1949,8,false
1949-10-22,1949,9,false
1949-11-20,1949,10,false
1949-12-20,1949,11,false
1950-01-18,1949,12,false
1950-02-17,1950,1,false
1950-03-19,1950,2,false
1950-04-17,1950,3,false
1950-05-17,1950,4,false
1950-06-16,1950,5,false
1950-07-15,1950,6,false
1950-08-14,1950,7,false
1950-09-12,1950,8,false
1950-10-11,1950,9,false
1950-11-10,1950,10,false
1950-12-09,1950,11,false
1951-01-08,1950,12,false
1951-02-06,1951,1,false
1951-03-08,1951,2,false
1951-04-06,1951,3,false
1951-05-06,1951,4,false
1951-06-05,1951,5,false
1951-07-04,1951,6,false
1951-08-03,1951,7,false
1951-09-01,1951,8,false
1951-10-01,1951,9,false
1951-10-30,1951,10,false
1951-11-29,1951,11,false
1951-12-28,1951,12,false
1952-01-27,1952,1,false
1952-02-25,1952,2,false
1952-03-26,1952,3,false
1952-04-24,1952,4,false
1952-05-24,1952,5,false
1952-06-22,1952,5,true
1952-07-22,1952,6,false
1952-08-21,1952,7,false
1952-09-19,1952,8,false
1952-10-19,1952,9,false
1952-11-17,1952,10,false
1952-12-17,1952,11,false
1953-01-15,1952,12,false
1953-02-14,1953,1,false
1953-03-15,1953,2,false
1953-04-14,1953,3,false
1953-05-13,1953,4,false
1953-06-11,1953,5,false
1953-07-11,1953,6,false
1953-08-10,1953,7,false
1953-09-08,1953,8,false
1953-10-08,1953,9,false
1953-11-07,1953,10,false
1953-12-06,1953,11,false
1954-01-05,1953,12,false
1954-02-04,1954,1,false
1954-03-05,1954,2,false
1954-04-03,1954,3,false
1954-05-03,1954,4,false
1954-06-01,1954,5,false
1954-06-30,1954,6,false
1954-07-30,1954,7,false
1954-08-28,1954,8,false
1954-09-27,1954,9,false
1954-10-27,1954,10,false
1954-11-25,1954,11,false
1954-12-25,1954,12,false
1955-01-24,1955,1,false
1955-02-23,1955,2,false
1955-03-24,1955,3,false
1955-04-22,1955,3,true
1955-05-22,1955,4,false
1955-06-20,1955,5,false
1955-07-19,1955,6,false
1955-08-18,1955,7,false
1955-09-16,1955,8,false
1955-10-16,1955,9,false
1955-11-14,1955,10,false
1955-12-14,1955,11,false
1956-01-13,1955,12,false
1956-02-12,1956,1,false
1956-03-12,1956,2,false
1956-04-11,1956,3,false
1956-05-10,1956,4,false
1956-06-09,1956,5,false
1956-07-08,1956,6,false
1956-08-06,1956,7,false
1956-09-05,1956,8,false
1956-10-04,1956,9,false
1956-11-03,1956,10,false
1956-12-02,1956,11,false
1957-01-01,1956,12,false
1957-01-31,1957,1,false
1957-03-02,1957,2,false
1957-03-31,1957,3,false
1957-04-30,1957,4,false
1957-05-29,1957,5,false
1957-06-28,1957,6,false
1957-07-27,1957,7,false
1957-08-25,1957,8,false
1957-09-24,1957,8,true
1957-10-23,1957,9,false
1957-11-22,1957,10,false
1957-12-21,1957,11,false
1958-01-20,1957,12,false
1958-02-19,1958,1,false
1958-03-20,1958,2,false
1958-04-19,1958,3,false
1958-05-19,1958,4,false
1958-06-17,1958,5,false
1958-07-17,1958,6,false
1958-08-15,1958,7,false
1958-09-13,1958,8,false
1958-10-13,1958,9,false
1958-11-11,1958,10,false
1958-12-11,1958,11,false
1959-01-09,1958,12,false
1959-02-08,1959,1,false
1959-03-09,1959,2,false
1959-04-08,1959,3,false
1959-05-08,1959,4,false
1959-06-06,1959,5,false
1959-07-06,1959,6,false
1959-08-04,1959,7,false
1959-09-03,1959,8,false
1959-10-02,1959,9,false
1959-11-01,1959,10,false
1959-11-30,1959,11,false
1959-12-30,1959,12,false
1960-01-28,1960,1,false
1960-02-27,1960,2,false
1960-03-27,1960,3,false
1960-04-26,1960,4,false
1960-05-25,1960,5,false
1960-06-24,1960,6,false
1960-07-24,1960,6,true
1960-08-22,1960,7,false
1960-09-21,1960,8,false
1960-10-20,1960,9,false
1960-11-19,1960,10,false
1960-12-18,1960,11,false
1961-01-17,1960,12,false
1961-02-15,1961,1,false
1961-03-17,1961,2,false
1961-04-15,1961,3,false
1961-05-15,1961,4,false
1961-06-13,1961,5,false
1961-07-13,1961,6,false
1961-08-11,1961,7,false
1961-09-10,1961,8,false
1961-10-10,1961,9,false
1961-11-08,1961,10,false
1961-12-08,1961,11,false
1962-01-06,1961,12,false
1962-02-05,1962,1,false
1962-03-06,1962,2,false
1962-04-05,1962,3,false
1962-05-04,1962,4,false
1962-06-02,1962,5,false
1962-07-02,1962,6,false
1962-07-31,1962,7,false
1962-08-30,1962,8,false
1962-09-29,1962,9,false
1962-10-28,1962,10,false
1962-11-27,1962,11,false
1962-12-27,1962,12,false
1963-01-25,1963,1,false
1963-02-24,1963,2,false
1963-03-25,1963,3,false
1963-04-24,1963,4,false
1963-05-23,1963,4,true
1963-06-21,1963,5,false
1963-07-21,1963,6,false
1963-08-19,1963,7,false
1963-09-18,1963,8,false
1963-10-17,1963,9,false
1963-11-16,1963,10,false
1963-12-16,1963,11,false
1964-01-15,1963,12,false
1964-02-13,1964,1,false
1964-03-14,1964,2,false
1964-04-12,1964,3,false
1964-05-12,1964,4,false
1964-06-10,1964,5,false
1964-07-09,1964,6,false
1964-08-08,1964,7,false
1964-09-06,1964,8,false
1964-10-06,1964,9,false
1964-11-04,1964,10,false
1964-12-04,1964,11,false
1965-01-03,1964,12,false
1965-02-02,1965,1,false
1965-03-03,1965,2,false
1965-04-02,1965,3,false
1965-05-01,1965,4,false
1965-05-31,1965,5,false
1965-06-29,1965,6,false
1965-07-28,1965,7,false
1965-08-27,1965,8,false
1965-09-25,1965,9,false
1965-10-24,1965,10,false
1965-11-23,1965,11,false
1965-12-23,1965,12,false
1966-01-22,1966,1,false
1966-02-20,1966,2,false
1966-03-22,1966,3,false
1966-04-21,1966,3,true
1966-05-20,1966,4,false
1966-06-19,1966,5,false
1966-07-18,1966,6,false
1966-08-16,1966,7,false
1966-09-15,1966,8,false
1966-10-14,1966,9,false
1966-11-12,1966,10,false
1966-12-12,1966,11,false
1967-01-11,1966,12,false
1967-02-09,1967,1,false
1967-03-11,1967,2,false
1967-04-10,1967,3,false
1967-05-09,1967,4,false
1967-06-08,1967,5,false
1967-07-08,1967,6,false
1967-08-06,1967,7,false
1967-09-04,1967,8,false
1967-10-04,1967,9,false
1967-11-02,1967,10,false
1967-12-02,1967,11,false
1967-12-31,1967,12,false
1968-01-30,1968,1,false
1968-02-28,1968,2,false
1968-03-29,1968,3,false
1968-04-28,1968,4,false
1968-05-27,1968,5,false
1968-06-26,1968,6,false
1968-07-25,1968,7,false
1968-08-24,1968,7,true
1968-09-22,1968,8,false
1968-10-22,1968,9,false
1968-11-20,1968,10,false
1968-12-20,1968,11,false
1969-01-18,1968,12,false
1969-02-17,1969,1,false
1969-03-18,1969,2,false
1969-04-17,1969,3,false
1969-05-16,1969,4,false
1969-06-15,1969,5,false
1969-07-14,1969,6,false
1969-08-13,1969,7,false
1969-09-12,1969,8,false
1969-10-11,1969,9,false
1969-11-10,1969,10,false
1969-12-09,1969,11,false
1970-01-08,1969,12,false
1970-02-06,1970,1,false
